Time,Steering Wheel,Break,Activating Signal
11:41.994,554,32767,0
11:42.013,554,32767,0
11:42.031,554,32767,0
11:42.046,554,32767,0
11:42.066,554,32767,0
11:42.083,554,32767,0
11:42.101,554,32767,0
11:42.129,554,32767,0
11:42.147,554,32767,0
11:42.163,554,32767,0
11:42.183,554,32767,0
11:42.215,554,32767,0
11:42.229,554,32767,0
11:42.244,554,32767,0
11:42.261,554,32767,0
11:42.291,554,32767,0
11:42.309,554,32767,0
11:42.324,554,32767,0
11:42.355,554,32767,0
11:42.370,554,32767,0
11:42.385,554,32767,0
11:42.403,554,32767,0
11:42.431,554,32767,0
11:42.450,554,32767,0
11:42.464,554,32767,0
11:42.496,554,32767,0
11:42.512,554,32767,0
11:42.527,554,32767,0
11:42.545,554,32767,0
11:42.573,554,32767,0
11:42.594,554,32767,0
11:42.608,554,32767,0
11:42.626,554,32767,0
11:42.653,554,32767,0
11:42.672,554,32767,0
11:42.685,554,32767,0
11:42.716,554,32767,0
11:42.731,554,32767,0
11:42.746,554,32767,0
11:42.764,554,32767,0
11:42.793,554,32767,0
11:42.811,554,32767,0
11:42.827,554,32767,0
11:42.844,554,32767,0
11:42.873,554,32767,0
11:42.891,554,32767,0
11:42.907,554,32767,0
11:42.924,554,32767,0
11:42.955,554,32767,8
11:42.972,554,32767,0
11:42.991,554,32767,0
11:43.012,554,32767,0
11:43.029,554,32767,0
11:43.049,554,32767,0
11:43.065,554,32767,0
11:43.083,554,32767,0
11:43.118,554,32767,0
11:43.132,554,32767,0
11:43.147,554,32767,0
11:43.166,554,32767,0
11:43.194,554,32767,0
11:43.213,554,32767,0
11:43.227,554,32767,0
11:43.243,554,32767,0
11:43.262,554,32767,0
11:43.300,554,32767,0
11:43.316,554,32767,0
11:43.335,554,32767,0
11:43.351,554,32767,0
11:43.367,554,32767,0
11:43.382,554,32767,0
11:43.415,554,32767,0
11:43.429,554,32767,0
11:43.443,554,32767,0
11:43.461,554,32767,0
11:43.494,554,32767,0
11:43.510,554,32767,0
11:43.526,554,32767,0
11:43.543,554,32767,0
11:43.572,554,32767,0
11:43.590,554,31467,0
11:43.607,559,27826,0
11:43.625,560,25226,0
11:43.657,579,19765,0
11:43.673,598,16124,0
11:43.688,617,12483,0
11:43.707,639,9623,0
11:43.722,673,5462,0
11:43.754,745,1,0
11:43.770,783,-1536,0
11:43.788,816,-3072,0
11:43.805,855,-4096,0
11:43.824,886,-5376,0
11:43.856,952,-9472,0
11:43.872,986,-11520,0
11:43.887,1026,-12544,0
11:43.907,1065,-12800,0
11:43.921,1124,-13312,0
11:43.951,1209,-13312,0
11:43.966,1248,-13312,0
11:43.984,1289,-13312,0
11:44.017,1361,-13568,0
11:44.033,1399,-14080,0
11:44.050,1437,-14848,0
11:44.068,1477,-15104,0
11:44.083,1518,-15616,0
11:44.115,1582,-15616,0
11:44.130,1608,-15616,0
11:44.146,1616,-14848,0
11:44.165,1621,-14848,0
11:44.198,1616,-12544,0
11:44.215,1603,-9216,0
11:44.233,1575,-2560,0
11:44.248,1535,7022,0
11:44.266,1489,15864,0
11:44.281,1426,26786,0
11:44.315,1314,32767,0
11:44.329,1247,32767,0
11:44.346,1196,32767,0
11:44.363,1149,32767,0
11:44.393,1079,32767,0
11:44.412,1064,32767,0
11:44.427,1058,32767,0
11:44.445,1058,32767,0
11:44.476,1058,32767,0
11:44.491,1058,32767,0
11:44.505,1058,32767,0
11:44.523,1058,32767,0
11:44.553,1059,32767,0
11:44.571,1059,32767,0
11:44.586,1059,32767,0
11:44.604,1059,32767,0
11:44.638,1059,32767,0
11:44.653,1059,32767,0
11:44.671,1059,32767,0
11:44.686,1059,32767,0
11:44.700,1059,32767,0
11:44.733,1059,32767,0
11:44.749,1059,32767,0
11:44.769,1058,32767,0
11:44.785,1057,32767,0
11:44.802,1057,32767,0
11:44.830,1053,32767,0
11:44.847,1053,32767,0
